"sic3","seed","pMSE_logit","pMSE_CART"
239,1,0.0305738297245345,0.0849556462904553
239,2,0.0318739617076653,0.0835320099780553
239,3,0.0287483074499531,0.0913284683495601
239,4,0.0237009699501291,0.0848982778615068
239,5,0.0234472908528374,0.0731421937393052
542,1,0.0605424939058863,0.0821753335969725
542,2,0.0506188342824483,0.0849325755462184
542,3,0.0579430429520552,0.0943350588669513
542,4,0.0600258300143606,0.0894610592473779
542,5,0.0650471049269401,0.0910428063514623
829,1,0.0660356891069511,0.0937948811906284
829,2,0.0520231391492722,0.0778536845684619
829,3,0.0619085033211438,0.0944402508289664
829,4,0.0612910173268168,0.0903160781768059
829,5,0.0570239778382999,0.0841957866498343
